,一级女运动员发展人数,业余无线电一级女运动员发展人数,中国式摔跤一级女运动员发展人数,中国象棋一级女运动员发展人数,举重一级女运动员发展人数,乒乓球一级女运动员发展人数,体操一级女运动员发展人数,体育舞蹈一级女运动员发展人数,保龄球一级女运动员发展人数,信鸽一级女运动员发展人数,健美一级女运动员发展人数,健美操一级女运动员发展人数,健身气功一级女运动员发展人数,冬季两项一级女运动员发展人数,冰壶一级女运动员发展人数,冰球一级女运动员发展人数,击剑一级女运动员发展人数,单板滑雪一级女运动员发展人数,台球一级女运动员发展人数,围棋一级女运动员发展人数,国际式摔跤一级女运动员发展人数,国际象棋一级女运动员发展人数,垒球一级女运动员发展人数,壁球一级女运动员发展人数,定向一级女运动员发展人数,射击一级女运动员发展人数,射箭一级女运动员发展人数,帆船一级女运动员发展人数,手球一级女运动员发展人数,技巧一级女运动员发展人数,拔河一级女运动员发展人数,拳击一级女运动员发展人数,排球一级女运动员发展人数,掷球一级女运动员发展人数,摩托艇一级女运动员发展人数,摩托车一级女运动员发展人数,救生一级女运动员发展人数,曲棍球一级女运动员发展人数,柔道一级女运动员发展人数,桥牌一级女运动员发展人数,棒球一级女运动员发展人数,橄榄球一级女运动员发展人数,武术一级女运动员发展人数,毽球一级女运动员发展人数,水球一级女运动员发展人数,汽车一级女运动员发展人数,沙滩排球一级女运动员发展人数,游泳一级女运动员发展人数,滑水一级女运动员发展人数,滑翔一级女运动员发展人数,潜水一级女运动员发展人数,热气球一级女运动员发展人数,现代五项一级女运动员发展人数,田径一级女运动员发展人数,电子竞技一级女运动员发展人数,登山一级女运动员发展人数,皮划艇一级女运动员发展人数,短道速滑一级女运动员发展人数,篮球一级女运动员发展人数,网球一级女运动员发展人数,羽毛球一级女运动员发展人数,自由式滑雪一级女运动员发展人数,自行车一级女运动员发展人数,舞龙舞狮一级女运动员发展人数,航海模型一级女运动员发展人数,航空模型一级女运动员发展人数,艺术体操一级女运动员发展人数,花样游泳一级女运动员发展人数,花样滑冰一级女运动员发展人数,藤球一级女运动员发展人数,街舞一级女运动员发展人数,赛艇一级女运动员发展人数,越野滑雪一级女运动员发展人数,足球一级女运动员发展人数,跆拳道一级女运动员发展人数,跳伞一级女运动员发展人数,跳台滑雪一级女运动员发展人数,跳水一级女运动员发展人数,蹦床一级女运动员发展人数,蹼泳一级女运动员发展人数,车辆模型一级女运动员发展人数,轮滑一级女运动员发展人数,软式网球一级女运动员发展人数,运动飞机一级女运动员发展人数,速度滑冰一级女运动员发展人数,钓鱼一级女运动员发展人数,铁人三项一级女运动员发展人数,门球一级女运动员发展人数,风筝一级女运动员发展人数,飞镖一级女运动员发展人数,马术一级女运动员发展人数,高尔夫球一级女运动员发展人数,高山滑雪一级女运动员发展人数,龙舟一级女运动员发展人数
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,3977.0,6.0,36.0,17.0,84.0,82.0,60.0,,,,3.0,234.0,,,,17.0,38.0,,,3.0,32.0,27.0,123.0,,,221.0,47.0,43.0,50.0,20.0,,29.0,293.0,,1.0,,,65.0,115.0,,16.0,,110.0,,12.0,,8.0,348.0,5.0,,,,5.0,399.0,,1.0,71.0,15.0,297.0,21.0,97.0,3.0,43.0,,3.0,3.0,54.0,6.0,2.0,,,186.0,8.0,291.0,170.0,6.0,4.0,79.0,11.0,3.0,3.0,2.0,11.0,,33.0,,1.0,,,,,,4.0,
2011年,2917.0,1.0,10.0,17.0,56.0,74.0,49.0,,,,8.0,137.0,,1.0,1.0,14.0,45.0,1.0,,4.0,9.0,36.0,110.0,,,206.0,23.0,30.0,36.0,26.0,,34.0,206.0,,9.0,,,32.0,68.0,,,17.0,93.0,,24.0,,10.0,232.0,,,,,5.0,229.0,,,42.0,12.0,319.0,30.0,64.0,,34.0,,2.0,3.0,20.0,,8.0,,,87.0,4.0,174.0,139.0,1.0,,57.0,31.0,1.0,,4.0,8.0,,17.0,,1.0,,,,,,6.0,
2012年,3396.0,3.0,1.0,20.0,70.0,70.0,41.0,,,,24.0,181.0,,,3.0,5.0,71.0,6.0,,8.0,18.0,33.0,103.0,,,225.0,49.0,82.0,53.0,18.0,,58.0,208.0,,,,,14.0,124.0,,,10.0,92.0,,28.0,,5.0,289.0,1.0,,,,12.0,203.0,,3.0,55.0,5.0,301.0,19.0,33.0,,73.0,,2.0,8.0,62.0,1.0,,,,148.0,11.0,198.0,216.0,,,74.0,21.0,4.0,,3.0,13.0,,15.0,,,,,,,,3.0,
2013年,3498.0,2.0,44.0,17.0,45.0,75.0,60.0,,,,22.0,99.0,,1.0,11.0,4.0,64.0,7.0,,3.0,,35.0,109.0,,,239.0,29.0,28.0,28.0,24.0,,58.0,237.0,,2.0,,,29.0,124.0,,,26.0,137.0,,34.0,,1.0,264.0,2.0,,,,4.0,304.0,,1.0,72.0,26.0,316.0,17.0,47.0,,83.0,,9.0,2.0,11.0,2.0,12.0,,,132.0,7.0,276.0,210.0,,,28.0,14.0,7.0,,1.0,3.0,,18.0,,,,,,,1.0,3.0,
2014年,5030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
